vid,from,WKT,cost_before,cost_remain,visit_number
4470035713,4252365995,"LINESTRING(8563458.548969066 5345287.113676104,8563473.836374722 5345303.429630914)",6548,3072,346
3812220408,3811153312,"LINESTRING(8559316.511336323 5341622.575055442,8559246.868710551 5341625.487470876)",657,8341,9
260711649,260713556,"LINESTRING(8565021.261547338 5345510.877833965,8565185.176507996 5345666.467018512)",8614,1160,488
2187766900,2187767389,"LINESTRING(8565463.74701108 5345051.700937904,8565626.812671421 5345204.368916729)",9249,525,498
2180514868,2180514876,"LINESTRING(8560988.78365514 5342798.682445317,8560997.276658282 5342832.470784961)",3076,6423,175
5203850363,5206047354,"LINESTRING(8563687.860053921 5345290.6099497285,8563706.544660835 5345307.508624083)",6592,2930,235
4278411494,4278407761,"LINESTRING(8559138.158270326 5341706.452984318,8559153.44567598 5341706.452984318)",337,8807,15
4315423171,260706865,"LINESTRING(8560258.38538486 5341930.713654914,8560867.333710197 5342432.261597255)",2535,6862,115
4291263237,4291263236,"LINESTRING(8560167.510251231 5341788.0016945945,8560184.496257517 5341806.059005525)",1493,7933,133
3812220432,3812220444,"LINESTRING(8559242.62220898 5341387.837364875,8559248.56731118 5341359.2964607775)",946,8542,166
2315284671,2315284908,"LINESTRING(8559611.218545377 5341422.203059275,8559629.90315229 5341421.620588822)",1088,8401,169
4611262674,2568613181,"LINESTRING(8562373.143167416 5344234.212312083,8562311.144244473 5344205.0800427655)",5125,4536,378
6562728028,6562728030,"LINESTRING(8561954.438112475 5343177.93446115,8561973.12271939 5343389.413487825)",3958,5564,193
2180514860,2180514961,"LINESTRING(8561016.81056551 5342850.530120194,8561041.440274624 5342855.77315956)",3128,6412,297
4611262683,4611262686,"LINESTRING(8562441.936492871 5344255.187602404,8562464.867601357 5344254.604954813)",5090,4477,323
2503124678,4291263227,"LINESTRING(8559622.259449463 5341668.591325714,8559985.759983975 5341747.227250246)",1212,7980,36
5176153389,4252366001,"LINESTRING(8563766.844983147 5345362.283848258,8563797.419794463 5345404.82227649)",6734,2788,248
3818837355,4428057511,"LINESTRING(8559091.446753038 5341568.98677394,8559111.829960583 5341455.986407813)",935,8622,317
2429960989,2429960987,"LINESTRING(8564047.11408686 5345627.423795338,8563991.060266118 5345678.704480361)",7182,2497,394
260711081,2429960985,"LINESTRING(8564080.236799117 5345598.869899921,8564297.657679575 5345799.914494644)",7357,2383,450
3818837344,3818837346,"LINESTRING(8558991.229315953 5341479.285340234,8558981.037712183 5341488.02245491)",972,8777,454
3873500003,2187766900,"LINESTRING(8565626.812671421 5345204.368916729,8565746.564015735 5345322.07647141)",9417,357,501
2614511835,2614511836,"LINESTRING(8561317.462876767 5342608.188409468,8561330.202381479 5342608.188409468)",3067,6668,437
6246303362,4252366022,"LINESTRING(8563854.32291552 5345472.417986747,8563830.54250672 5345534.769637208)",6892,2630,257
2315284908,2315284953,"LINESTRING(8559554.315424321 5341394.826987368,8559611.218545377 5341422.203059275)",1069,8382,140
2187767032,2634540341,"LINESTRING(8565292.188347595 5344879.224094387,8565276.051641624 5344864.074253964)",9019,755,500
9620064964,2486920159,"LINESTRING(8562481.853607643 5344139.824090102,8562477.607106071 5344144.485214418)",4908,4614,207
260709989,260706791,"LINESTRING(8560039.265903775 5341718.685245362,8560112.305730803 5341479.86781429)",1701,8011,418
4348168667,4348167775,"LINESTRING(8560433.3412496 5342176.532850295,8560466.463961858 5342182.94054638)",1882,7340,53
3812220396,3812220422,"LINESTRING(8559278.29282218 5341591.7035078155,8559265.553317465 5341535.203015725)",782,8466,60
6562728034,2180514829,"LINESTRING(8561349.736288708 5342664.695408288,8561906.877294876 5343023.551977167)",3582,5616,40
5206061281,4246713553,"LINESTRING(8563536.684597978 5345149.01191768,8563478.932176607 5345267.884194628)",6516,3033,309
2315284705,2315284908,"LINESTRING(8559611.218545377 5341422.203059275,8559595.081839407 5341595.198394867)",1243,8295,295
6322382708,5176153376,"LINESTRING(8563834.789008291 5345538.266003799,8563910.376736261 5345609.359075821)",7002,2620,356
3812220456,3812220450,"LINESTRING(8559251.115212122 5341322.601141098,8559251.964512438 5341297.555212225)",1008,8530,293
3689654603,3689654584,"LINESTRING(8559573.000031235 5341748.392231895,8559561.95912715 5341847.998701414)",1064,8584,372
2180483487,2180483063,"LINESTRING(8560018.882696232 5341788.0016945945,8559998.499488689 5341791.49665527)",1290,7944,57
8390169460,2184621851,"LINESTRING(8562124.298175331 5343891.622588925,8562142.133481933 5344023.296740178)",4690,5013,409
4278407761,4278469910,"LINESTRING(8559122.021564351 5341778.68180587,8559138.158270326 5341706.452984318)",322,8792,12
4315405480,4610627639,"LINESTRING(8561081.357389396 5342584.304110947,8561171.38322271 5342625.082218563)",2897,6512,121
2568957198,2568901787,"LINESTRING(8561305.572672367 5342687.414813687,8561255.463953825 5342686.832264139)",3347,6388,446
3793382658,2187766870,"LINESTRING(8565175.83420454 5345351.794950608,8565247.175430939 5345421.721158063)",8710,1064,493
3818837345,3818837346,"LINESTRING(8558991.229315953 5341479.285340234,8558976.79121061 5341461.811135456)",982,8787,464
2675713425,4929479192,"LINESTRING(8560550.54469297 5342176.532850295,8560852.04630454 5342394.396989307)",2409,7052,149
2315284620,2315284671,"LINESTRING(8559629.90315229 5341421.620588822,8559630.752452606 5341433.852475969)",1100,8389,170
3689654595,3689654585,"LINESTRING(8559629.053851979 5341749.557213687,8559664.724465178 5341753.634651114)",949,8493,136
6936046222,3812514748,"LINESTRING(8558949.613600554 5341758.294581785,8558958.95590401 5341770.526910882)",546,9016,321
2567616746,260381535,"LINESTRING(8560001.896689946 5341848.58119852,8560006.143191518 5341938.868690094)",1437,7988,125
3689654584,1697452869,"LINESTRING(8559573.000031235 5341694.803226825,8559573.000031235 5341748.392231895)",964,8508,151
7797426981,3812232593,"LINESTRING(8559398.044166494 5341361.0438605575,8559410.783671208 5341359.2964607775)",853,8430,68
3245711240,4315384405,"LINESTRING(8564341.821295915 5345735.23010804,8564617.843898058 5345518.453277138)",7848,1926,480
2486920157,2184621916,"LINESTRING(8562169.311091987 5343798.403076101,8562438.539291615 5344067.576961439)",4814,4708,198
4252365821,5206052893,"LINESTRING(8563812.70720012 5345390.837018374,8563861.966618348 5345433.375577012)",6791,2731,244
2180483261,4278396504,"LINESTRING(8560306.795502773 5342018.671911014,8560509.778277885 5342202.746180319)",1915,7269,28
260710003,260707503,"LINESTRING(8560228.659873858 5342029.157056534,8560322.932208745 5342126.4364691675)",1745,7546,72
9620088263,9612714002,"LINESTRING(8561943.397208389 5343176.769300747,8561940.000007134 5343450.586002244)",4040,5504,303
9264388644,9264388643,"LINESTRING(8560936.976335969 5342695.570511189,8560935.27773534 5342869.172051345)",2792,6813,336
2235647752,2493653543,"LINESTRING(8558901.20348264 5341680.241050437,8558823.91715404 5341684.318457533)",605,9075,396
4348284359,6485333445,"LINESTRING(8560948.017240055 5342872.667417588,8560917.44242874 5343058.506277804)",2985,6745,435
3812233301,3811153311,"LINESTRING(8559364.921454236 5341616.750227308,8559397.194866179 5341771.1094031455)",713,8485,38
4348167008,4348167006,"LINESTRING(8560373.890227601 5342121.776354384,8560377.287428858 5342161.969921036)",1805,7475,67
2607502583,260706888,"LINESTRING(8560296.603899002 5341892.851085073,8560362.849323515 5341928.383646173)",1872,7525,116
2568901753,2614511834,"LINESTRING(8561336.996783994 5342607.605864874,8561359.078592164 5342625.082218563)",3108,6627,439
2568901768,2568901753,"LINESTRING(8561359.078592164 5342625.082218563,8561468.638332708 5342641.393511582)",3221,6514,441
4837055058,2430365619,"LINESTRING(8563974.923560146 5345516.122370891,8564012.292773975 5345550.503297203)",7008,2684,400
2554593354,2554593374,"LINESTRING(8561245.272350052 5342541.778560256,8561250.368151939 5342526.049981088)",3179,6544,429
2568957383,2568901787,"LINESTRING(8561305.572672367 5342687.414813687,8561318.312177079 5342801.595228391)",3423,6312,445
2493653545,2493653543,"LINESTRING(8558901.20348264 5341680.241050437,8558795.89024367 5341666.261382517)",634,9104,448
6485333447,9264388644,"LINESTRING(8560935.27773534 5342869.172051345,8560868.183010511 5342858.685960483)",2860,6881,451
3689654585,3689654587,"LINESTRING(8559630.752452606 5341688.978353539,8559629.053851979 5341749.557213687)",913,8457,100
3811095199,3812220413,"LINESTRING(8559195.910691695 5341474.625549089,8559213.745998295 5341468.800813435)",835,8519,96
4710248419,2312001986,"LINESTRING(8564171.111932745 5345624.510128531,8564195.74164186 5345596.5389735475)",7262,2512,475
4315384405,4315384415,"LINESTRING(8564325.684589945 5345754.4605544275,8564341.821295915 5345735.23010804)",7455,2319,479
3812220449,3812220430,"LINESTRING(8559263.854716837 5341368.615930055,8559269.799819037 5341324.930998369)",994,8486,160
2187767389,3793382253,"LINESTRING(8565276.051641624 5345247.4893334145,8565463.74701108 5345051.700937904)",9026,748,495
3812233302,3812233301,"LINESTRING(8559397.194866179 5341771.1094031455,8559449.00218535 5341768.779434315)",765,8537,79
3315266493,3315266492,"LINESTRING(8563710.791162407 5345298.185213751,8563770.242184406 5345357.039397958)",6672,2850,232
3812220412,3812220409,"LINESTRING(8559229.033403952 5341488.604929513,8559252.813812751 5341462.393608421)",850,8534,105
3812220413,3812220423,"LINESTRING(8559219.691100495 5341548.017530285,8559195.910691695 5341474.625549089)",816,8500,86
3812220387,3812220408,"LINESTRING(8559246.868710551 5341625.487470876,8559238.37570741 5341603.935618226)",680,8364,10
4246713554,4246713553,"LINESTRING(8563536.684597978 5345149.01191768,8563553.670604264 5345165.910335134)",6384,3138,224
260706888,260706865,"LINESTRING(8560258.38538486 5341930.713654914,8560296.603899002 5341892.851085073)",1797,7600,114
7638650248,7638650250,"LINESTRING(8559044.735235754 5341758.294581785,8559043.036635125 5341767.031958074)",420,8890,84
2312001986,2312001534,"LINESTRING(8564090.42840289 5345552.251483288,8564171.111932745 5345624.510128531)",7225,2549,471
3689965573,4291263227,"LINESTRING(8559622.259449463 5341668.591325714,8559630.752452606 5341668.591325714)",832,8376,48
3245711241,3245711240,"LINESTRING(8564617.843898058 5345518.453277138,8564682.390721941 5345581.3879663395)",7938,1836,481
2634540342,1419995692,"LINESTRING(8565359.283072423 5344944.485227148,8565294.736248538 5344882.137528065)",8993,781,494
4611262774,5204082566,"LINESTRING(8562481.853607643 5344149.146341067,8562469.963403244 5344161.381809614)",4931,4591,216
2486920178,9620064965,"LINESTRING(8562465.716901671 5344132.249768062,8562398.622176843 5344202.166820845)",4990,4532,229
4929479162,4929479156,"LINESTRING(8560839.306799825 5342542.361100736,8560853.744905168 5342556.924624549)",2442,7083,272
297124194,3689654603,"LINESTRING(8559561.95912715 5341847.998701414,8559534.781517092 5342064.107626812)",1282,8439,422
8084017256,8390169460,"LINESTRING(8562142.133481933 5344023.296740178,8562150.626485074 5344059.420062759)",4727,5050,504
2180483162,2180408158,"LINESTRING(8559959.431674233 5341698.88064029,8560255.837483916 5341962.1688299365)",1565,7619,26
3812220454,3812220436,"LINESTRING(8559216.293899238 5341372.693200795,8559235.827806467 5341298.720137658)",1014,8656,387
4278411493,4278407760,"LINESTRING(8559100.789056495 5341710.530402883,8559080.405848954 5341715.7728008)",342,8812,19
3812220424,3812220411,"LINESTRING(8559220.540400809 5341456.568880413,8559235.827806467 5341416.378356389)",888,8572,147
3811153328,3811153329,"LINESTRING(8559155.14427661 5341804.894016667,8559119.47366341 5341795.574111046)",231,8701,7
6485334957,4929479169,"LINESTRING(8560943.770738482 5342602.945509428,8560947.16793974 5342704.891317078)",2623,6855,155
2180514951,6485334957,"LINESTRING(8560947.16793974 5342704.891317078,8560965.852546655 5342816.1591574205)",2737,6741,156
3315266489,2727018488,"LINESTRING(8563520.547892008 5345119.876787168,8563534.98599735 5345139.105963079)",6350,3172,217
4246713552,2727018488,"LINESTRING(8563520.547892008 5345119.876787168,8563521.397192322 5345133.278935884)",6339,3183,218
4252366110,4252365821,"LINESTRING(8563861.966618348 5345433.375577012,8563944.348748833 5345486.98609201)",6890,2632,250
6485404274,260707502,"LINESTRING(8559847.324032748 5342032.6521076625,8559844.776131805 5341931.878659503)",1464,8163,362
3540581374,3540581372,"LINESTRING(8559882.145345634 5341556.754709407,8559933.952664804 5341606.265545839)",1281,8116,109
4929479036,2567616747,"LINESTRING(8559832.036627091 5341940.616198561,8559832.885927405 5342019.254418789)",1322,8103,129
4246713553,3315266489,"LINESTRING(8563534.98599735 5345139.105963079,8563536.684597978 5345149.01191768)",6360,3162,221
5206047354,3958764837,"LINESTRING(8563570.65661055 5345182.808783247,8563687.860053921 5345290.6099497285)",6567,2955,231
2180515062,2180514868,"LINESTRING(8560997.276658282 5342832.470784961,8561006.61896174 5342844.121964975)",3091,6411,179
6322387183,6322387185,"LINESTRING(8563691.257255178 5345322.659185777,8563652.189440722 5345363.44928206)",6670,2852,245
3689654604,3692826882,"LINESTRING(8559718.230384976 5341846.251210316,8559718.230384976 5341855.571166625)",1077,8376,145
2180408158,2493653542,"LINESTRING(8559455.796587864 5341651.699250736,8559959.431674233 5341698.88064029)",1167,8017,25
5204082591,5204082590,"LINESTRING(8563196.964472266 5344820.955612234,8563241.977388924 5344858.830084172)",5942,3580,206
5176153375,5176153374,"LINESTRING(8563678.517750464 5345396.081487707,8563687.860053921 5345409.484033861)",6726,2796,251
5204089176,4470035713,"LINESTRING(8563473.836374722 5345303.429630914,8563535.835297665 5345384.427115422)",6650,2970,348
2554593452,2614511836,"LINESTRING(8561317.462876767 5342608.188409468,8561296.230368908 5342608.7709541)",3075,6648,425
4278404388,4422325955,"LINESTRING(8558943.668498354 5341696.550689518,8558930.92899364 5341605.683063882)",640,8917,313
2554593331,2554593352,"LINESTRING(8561219.793340625 5342524.302362819,8561179.02692554 5342515.5642763935)",3247,6476,431
4272456379,9264388644,"LINESTRING(8560935.27773534 5342869.172051345,8560904.702924026 5343057.923705053)",2984,6756,449
4838251529,4959914414,"LINESTRING(8564154.975226775 5345402.491398678,8564147.331523946 5345397.829644807)",7223,2551,473
6789097401,4959914414,"LINESTRING(8564154.975226775 5345402.491398678,8564194.892341545 5345433.958298342)",7265,2509,472
4710248420,4710248419,"LINESTRING(8564195.74164186 5345596.5389735475,8564234.809456317 5345552.251483288)",7321,2453,477
3812220398,3812220423,"LINESTRING(8559219.691100495 5341548.017530285,8559240.923608351 5341533.4555832865)",766,8450,52
4252366022,3315266496,"LINESTRING(8563806.762097921 5345397.829644807,8563854.32291552 5345472.417986747)",6825,2697,253
2430365643,4315384415,"LINESTRING(8564325.684589945 5345754.4605544275,8564505.736256573 5345934.5293881465)",7685,2089,478
4278469910,3811153328,"LINESTRING(8559119.47366341 5341795.574111046,8559122.021564351 5341778.68180587)",248,8718,8
3689654580,3689654595,"LINESTRING(8559664.724465178 5341753.634651114,8559714.83318372 5341790.914161732)",1012,8441,141
260726833,2187766776,"LINESTRING(8565896.040871048 5345467.756197877,8566005.60061159 5345363.44928206)",9777,0,506
2614511833,2614511834,"LINESTRING(8561336.996783994 5342607.605864874,8561314.065675508 5342479.446939438)",3204,6531,440
3812220858,3812220449,"LINESTRING(8559269.799819037 5341324.930998369,8559269.799819037 5341296.390286939)",1023,8515,294
2180483061,2503124678,"LINESTRING(8559985.759983975 5341747.227250246,8559843.077531176 5341726.84009498)",1439,8207,371
6485288957,6485288956,"LINESTRING(8561073.713686569 5342835.966137435,8561153.547916109 5342907.0385888275)",3274,6480,458
2493653541,3689965573,"LINESTRING(8559630.752452606 5341668.591325714,8559832.036627091 5341931.296157191)",1234,8191,126
4291263240,2180483063,"LINESTRING(8560018.882696232 5341788.0016945945,8560088.525322003 5341833.436285615)",1358,7842,42
4291263241,4291263240,"LINESTRING(8560088.525322003 5341833.436285615,8560108.059229232 5341844.503719548)",1386,7826,50
4348168660,4348167775,"LINESTRING(8560433.3412496 5342176.532850295,8560402.766438287 5342210.90145359)",1894,7414,81
2180514876,2180515033,"LINESTRING(8561044.837475883 5342692.075211384,8560988.78365514 5342798.682445317)",3041,6458,174
6485288956,2180514860,"LINESTRING(8561041.440274624 5342855.77315956,8561073.713686569 5342835.966137435)",3167,6373,298
3689654587,3689965573,"LINESTRING(8559630.752452606 5341668.591325714,8559630.752452606 5341688.978353539)",852,8396,61
2180514989,2180514868,"LINESTRING(8560997.276658282 5342832.470784961,8561077.96018814 5342768.972109976)",3180,6319,176
5176153376,6246303362,"LINESTRING(8563830.54250672 5345534.769637208,8563834.789008291 5345538.266003799)",6898,2624,258
9612596968,4470035713,"LINESTRING(8563473.836374722 5345303.429630914,8563475.534975352 5345300.51606546)",6551,3069,347
6936046216,6936046216,"LINESTRING(8559314.812735694 5341798.486580552,8559314.812735694 5341798.486580552)",0,8858,0
4929479189,4348168667,"LINESTRING(8560466.463961858 5342182.94054638,8560522.5177826 5342226.046980029)",1953,7269,54
260707503,4291263245,"LINESTRING(8560128.442436773 5341875.37610473,8560228.659873858 5342029.157056534)",1610,7681,71
2486920152,2486920157,"LINESTRING(8562438.539291615 5344067.576961439,8562544.7018309 5344172.452009292)",4963,4559,200
3689965589,3689654580,"LINESTRING(8559714.83318372 5341790.914161732,8559770.887004461 5341839.261249205)",1108,8537,370
7638650250,7638650249,"LINESTRING(8559066.817043925 5341709.947914407,8559044.735235754 5341758.294581785)",411,8881,73
2554593505,4315405480,"LINESTRING(8561171.38322271 5342625.082218563,8561492.418741507 5342661.782668013)",3221,6484,412
5243987966,6517469116,"LINESTRING(8563829.693206405 5345548.755111447,8563751.557577493 5345636.164801233)",7034,2723,460
7206116686,3811153312,"LINESTRING(8559316.511336323 5341622.575055442,8559863.460738719 5341538.697881585)",1183,8214,107
6562728039,6562728040,"LINESTRING(8561838.083969418 5343127.832695386,8561819.399362504 5343163.952545927)",3959,5633,332
3812220909,7797426981,"LINESTRING(8559410.783671208 5341359.2964607775,8559443.05708315 5341360.461393927)",885,8398,69
4348175304,4278411494,"LINESTRING(8559153.44567598 5341706.452984318,8559139.007570637 5341783.9242421305)",416,8886,78
3812220450,3812220432,"LINESTRING(8559248.56731118 5341359.2964607775,8559251.115212122 5341322.601141098)",983,8505,167
2184622030,2184621933,"LINESTRING(8561919.61679959 5343484.376706237,8561918.767499276 5343485.541905113)",4074,5462,290
4348167507,2567616746,"LINESTRING(8560006.143191518 5341938.868690094,8559879.59744469 5341938.868690094)",1564,8115,391
5061880844,5061880834,"LINESTRING(8559051.529638268 5342092.650689785,8559014.16042444 5342083.330496344)",555,9064,341
3793382659,3245711241,"LINESTRING(8564682.390721941 5345581.3879663395,8564805.539267514 5345468.338921358)",8105,1669,482
7206064663,4348168660,"LINESTRING(8560402.766438287 5342210.90145359,8560486.847169401 5342287.211856504)",2008,7304,85
2187767119,2187767012,"LINESTRING(8565079.863269025 5345256.229982752,8565027.20664954 5345221.267434616)",8547,1227,490
2568613181,2568613167,"LINESTRING(8562380.786870245 5344202.749465156,8562373.143167416 5344234.212312083)",5044,4478,238
2187767015,3793382658,"LINESTRING(8565247.175430939 5345421.721158063,8565338.89986488 5345506.798751732)",8835,939,496
4315428230,4929479036,"LINESTRING(8559832.885927405 5342019.254418789,8559832.885927405 5342039.642213851)",1342,8083,130
2568901780,2568901753,"LINESTRING(8561359.078592164 5342625.082218563,8561355.68139091 5342679.2591233235)",3234,6501,442
2180483305,4280931090,"LINESTRING(8559942.445667947 5341659.271556422,8559814.20132049 5341628.982370597)",1513,7928,135
260713556,260711593,"LINESTRING(8564930.386413712 5345422.303878664,8565021.261547338 5345510.877833965)",8388,1386,486
3812514750,3812514742,"LINESTRING(8559041.338034496 5341872.463611191,8559031.146430725 5341845.668713357)",424,8894,87
3604255850,4246713552,"LINESTRING(8563521.397192322 5345133.278935884,8563445.80946435 5345238.165983162)",6472,3116,328
2429960998,2429960992,"LINESTRING(8564031.826681204 5345723.575311372,8563997.005368318 5345761.453453869)",7294,2480,468
3812220429,3812220426,"LINESTRING(8559256.211014008 5341412.301066535,8559270.649119351 5341387.254896572)",930,8550,158
3812220438,3811095199,"LINESTRING(8559213.745998295 5341468.800813435,8559212.89669798 5341381.43021553)",928,8588,185
5204125614,5204125611,"LINESTRING(8563564.71150835 5345129.782721316,8563612.27232595 5345171.154677819)",6427,3095,219
3812220436,3812220438,"LINESTRING(8559212.89669798 5341381.43021553,8559216.293899238 5341372.693200795)",937,8579,187
6322387186,1282631046,"LINESTRING(8563727.777168693 5345337.809772114,8563719.284165548 5345347.715938045)",6647,2875,246
9612714002,6562728030,"LINESTRING(8561954.438112475 5343177.93446115,8561943.397208389 5343176.769300747)",3755,5789,302
4252365995,3604255850,"LINESTRING(8563445.80946435 5345238.165983162,8563458.548969066 5345287.113676104)",6526,3094,344
1282631046,4999059200,"LINESTRING(8563731.174369948 5345330.234475865,8563727.777168693 5345337.809772114)",6634,2888,241
2554593374,2554593437,"LINESTRING(8561296.230368908 5342596.537524493,8561245.272350052 5342541.778560256)",3162,6561,427
2554593332,2554593437,"LINESTRING(8561296.230368908 5342596.537524493,8561286.888065452 5342516.146815234)",3168,6555,428
3811153312,3812220420,"LINESTRING(8559354.729850465 5341616.750227308,8559316.511336323 5341622.575055442)",587,8271,5
4252366100,5204089176,"LINESTRING(8563535.835297665 5345384.427115422,8563544.328300808 5345419.972996478)",6687,2933,349
4929479156,9264366606,"LINESTRING(8560758.62326997 5342396.14458321,8560839.306799825 5342542.361100736)",2421,7104,270
