vid,from,WKT,cost_before,cost_remain,visit_number
297162506,297162501,"LINESTRING(8560828.265895741 5357686.741917174,8560942.072137855 5357638.895941233)",2403,19725,192
296031341,296031209,"LINESTRING(8559333.497342609 5359141.4938042695,8559272.34771998 5359320.071090484)",603,20679,31
2267609130,2267609217,"LINESTRING(8562481.00430733 5353303.438421432,8562523.469323043 5353313.3530671215)",8190,13938,1091
4364137544,2675457315,"LINESTRING(8565001.727640111 5346494.57154089,8565116.383182539 5346577.327763864)",15918,6210,1531
9279952006,3411364202,"LINESTRING(8564092.976303833 5347469.043581267,8564098.921406033 5347474.872070111)",14005,8123,1440
296031117,296031161,"LINESTRING(8559439.659881894 5358729.495240783,8559494.864402322 5358644.2966824705)",490,20422,12
4932875169,4932875156,"LINESTRING(8562466.566201987 5349246.3188860025,8562497.990313616 5349206.094734922)",11172,10956,589
4230602327,4230602325,"LINESTRING(8564802.142066255 5349854.948990488,8564846.3056826 5349859.029977978)",12893,9235,1445
3589030946,3589029729,"LINESTRING(8561133.164708568 5350893.326494025,8561187.51992868 5350897.407936788)",9639,12489,659
6889126121,6889086471,"LINESTRING(8561122.973104795 5351196.524256878,8561098.343395682 5351193.0257648295)",9288,12840,1399
259994908,297442184,"LINESTRING(8562873.381052526 5351369.701256996,8563061.925722295 5351388.360250648)",9678,12450,679
4898246639,260734075,"LINESTRING(8567495.273362838 5344121.17961616,8567522.450972894 5344097.291438457)",19483,2645,1683
256225990,5704045895,"LINESTRING(8563394.851445494 5350109.722640125,8563768.543583777 5350142.954499813)",11554,10574,737
260730699,260719856,"LINESTRING(8564609.350894913 5349702.20474531,8564628.884802142 5349450.35711169)",13031,9097,1426
3793018430,6494902357,"LINESTRING(8561748.058136106 5353783.436040204,8561900.932192676 5353827.762707125)",6419,15709,352
4077233222,4077233230,"LINESTRING(8564395.327215716 5351258.331166595,8564400.423017602 5351204.104327499)",11276,10852,927
2383207741,2383207740,"LINESTRING(8560237.152877003 5358863.13016837,8560260.933285803 5358927.322301124)",1871,20059,79
6768948894,6165386799,"LINESTRING(8561736.167931706 5354762.171331458,8561666.525305934 5354516.019630506)",6757,15371,321
297162587,5581477714,"LINESTRING(8560189.592059404 5358175.718564187,8560257.536084544 5358137.78986152)",1505,20545,108
6487885687,6512416629,"LINESTRING(8564311.246484602 5348979.327047962,8564313.794385545 5348940.269931975)",13225,8903,800
2912713383,260713296,"LINESTRING(8563988.512365175 5352096.263453432,8563995.30676769 5352027.453366038)",10133,11995,877
2912715503,2912715502,"LINESTRING(8564217.82345003 5351979.636486279,8564346.917097801 5351992.465381124)",10549,11579,1028
2200691619,2200688795,"LINESTRING(8560293.206697743 5356541.423509085,8560276.22069146 5356539.08984072)",3164,18964,454
6512416640,6512416639,"LINESTRING(8564466.668442115 5347976.135759684,8564494.695352485 5347870.634996906)",14255,7873,1190
4230602377,4230602376,"LINESTRING(8564538.85896883 5350169.7732801,8564547.35197197 5350169.7732801)",12345,9783,1021
6485649422,6512416635,"LINESTRING(8564390.23141383 5348160.910694028,8564365.601704715 5348149.835752389)",13973,8155,1181
6768438959,6768438953,"LINESTRING(8561038.892373683 5355021.745938461,8561173.081823338 5355273.161057948)",4951,17177,248
2267609098,2267609106,"LINESTRING(8563120.527443983 5352791.9736759495,8563050.884818211 5352576.781974265)",8825,13303,1250
296031153,296031117,"LINESTRING(8559494.864402322 5358644.2966824705,8559105.884858381 5358520.58509703)",898,20370,28
3406901142,1382701786,"LINESTRING(8564532.064566314 5347407.844668658,8564639.076405915 5347085.537032787)",14940,7188,1493
2021401886,2021401888,"LINESTRING(8560340.767515345 5358352.52671181,8560340.767515345 5358309.929061927)",1828,20222,120
352708471,2259716103,"LINESTRING(8561691.15501505 5352572.1166266315,8561804.111956848 5352181.402062365)",7876,14252,467
2261287092,2259716310,"LINESTRING(8560985.386453882 5352374.424670016,8560990.482255768 5352361.012093527)",8108,14020,472
4284624666,5704045894,"LINESTRING(8563420.330454923 5349848.536013761,8563556.218505207 5349861.3619716335)",11572,10556,770
8008081137,6512368948,"LINESTRING(8563448.357365293 5349339.592948574,8563459.39826938 5349340.75888027)",11936,10192,733
6487885696,6487885693,"LINESTRING(8564321.438088374 5349155.960529048,8564340.122695288 5349157.126437747)",13053,9075,790
6494924161,6494924160,"LINESTRING(8562584.618945671 5354542.267724428,8562450.429496014 5354451.857934889)",7657,14471,298
7007310830,297171791,"LINESTRING(8564126.099016089 5350716.076991978,8564149.030124575 5350718.409200354)",11436,10692,979
2267609289,2267609089,"LINESTRING(8562055.504849875 5352854.3743683975,8562073.340156475 5352879.451400056)",7387,14741,1035
2021401910,2021401915,"LINESTRING(8560439.2863518 5358799.522037567,8560483.449968142 5358777.93038566)",2104,19979,141
6485649423,6485649422,"LINESTRING(8564365.601704715 5348149.835752389,8564341.821295915 5348176.648791651)",14009,8119,1187
7206212797,7206212799,"LINESTRING(8564443.73733363 5347817.010758016,8564322.287388688 5347775.044177783)",14496,7632,1203
2259715852,2259716314,"LINESTRING(8561915.370298019 5351899.747857242,8561973.12271939 5351900.914109668)",8237,13891,482
6512416613,6552126412,"LINESTRING(8563949.44455072 5352370.925735155,8563955.389652917 5352299.197860419)",9857,12271,1306
