vid,from,WKT,cost_before,cost_remain,visit_number
260723746,4932875179,"LINESTRING(8561942.547908075 5348627.235981322,8561847.426272877 5348616.743405509)",11702,9331,3415
8236382022,8454206613,"LINESTRING(8562379.088269616 5350966.209669895,8562384.1840715 5350914.89985462)",9416,10709,858
5347335168,256225544,"LINESTRING(8563869.610321175 5349105.243641999,8563885.747027148 5348951.928755414)",12741,8239,3185
296029212,296029201,"LINESTRING(8558815.424150897 5356312.726792127,8558727.096918212 5356344.230597766)",3819,17253,3538
4144547324,3905599324,"LINESTRING(8564179.604935888 5351738.806424179,8564199.138843117 5351564.456345663)",10745,10342,3623
2886763049,2886763060,"LINESTRING(8564188.097939031 5350024.019970543,8564191.495140288 5349987.873502939)",12141,8948,3636
1608871368,533333097,"LINESTRING(8562271.227129703 5348055.990723031,8562244.89881996 5348146.921296252)",12422,8720,3893
2200690219,2200689692,"LINESTRING(8560271.124889573 5356184.962451972,8560353.507020058 5356071.784547973)",3715,16138,563
2261286985,292229514,"LINESTRING(8562319.637247615 5351064.748631076,8562349.362758616 5350805.284378672)",9473,10641,839
6485649406,8950976837,"LINESTRING(8563835.638308605 5347905.607493,8564140.537121432 5347948.74041909)",13872,7283,3955
3805306637,3805306640,"LINESTRING(8562254.241123417 5349278.964701599,8562373.992467731 5349236.991531143)",11022,9407,1423
3524823776,3524825452,"LINESTRING(8561180.725526167 5350341.765120795,8561232.532845337 5350345.846321716)",10189,10995,4107
2268169106,2200689280,"LINESTRING(8560922.538230626 5356546.674265048,8560883.47041617 5356557.759204035)",3484,16298,512
7007322291,2261286985,"LINESTRING(8562349.362758616 5350805.284378672,8562368.896665845 5350547.576483075)",9731,10423,887
6556690818,6556690817,"LINESTRING(8563554.519904578 5351877.005964153,8563605.477923436 5351878.755338572)",9825,10888,2327
4230603098,3875170191,"LINESTRING(8564129.496217346 5350691.005788839,8564149.030124575 5350692.754940356)",11458,9585,3435
4693475191,5581501025,"LINESTRING(8560031.622200947 5358412.047042557,8560175.15395406 5358762.757903501)",1615,18579,954
8454175968,2261286985,"LINESTRING(8562349.362758616 5350805.284378672,8562392.677074645 5350808.782724983)",9516,10618,870
1780527426,1129127934,"LINESTRING(8562067.395054275 5348591.677855593,8562068.244354589 5348580.602401545)",12016,9146,3994
4560788556,4560788561,"LINESTRING(8564327.383190572 5346952.653949743,8564445.435934259 5346809.28222362)",14877,6217,3671
260545755,2259716250,"LINESTRING(8562228.762113988 5351924.239188871,8562423.251885958 5351943.4824232245)",8492,11538,741
2200691348,2200688764,"LINESTRING(8561458.446728937 5356324.978259419,8561491.569441194 5356150.542222049)",4435,15653,805
2886763046,2886763050,"LINESTRING(8564230.562954746 5349991.954548704,8564256.891264489 5349970.966332401)",12208,8901,3754
2187647464,8659414092,"LINESTRING(8564387.683512887 5347332.657983787,8564400.423017602 5347344.897635303)",14439,6650,3634
2258965144,4750812725,"LINESTRING(8559318.20993695 5359363.8405565005,8559392.948364608 5359436.206525576)",766,19539,1162
3411364211,3411364215,"LINESTRING(8564185.550038088 5347865.972007352,8564261.987066373 5347787.867279452)",14079,7081,3984
4305701367,4305701378,"LINESTRING(8561278.395062309 5354622.76234089,8561286.038765138 5354608.76322713)",5931,14404,1205
6768715436,6190685677,"LINESTRING(8559672.368168006 5354351.533261322,8559654.532861406 5354555.683445476)",5861,15259,3811
4404606457,4404607411,"LINESTRING(8562670.398277413 5348730.99653437,8562668.699676786 5348767.138122143)",11975,8861,2633
296027846,296027827,"LINESTRING(8559700.395078378 5357983.15905925,8559595.081839407 5358026.922232989)",1564,18208,505
2200691619,2200688795,"LINESTRING(8560293.206697743 5356541.423509085,8560276.22069146 5356539.08984072)",3164,16579,480
2259716368,2259715917,"LINESTRING(8561949.34231059 5352689.3341948185,8561952.739511847 5352691.083721945)",7434,12421,566
2021401889,2021401890,"LINESTRING(8560285.562994916 5358353.1102426145,8560332.274512202 5358352.52671181)",1777,18142,620
8202703480,4305616936,"LINESTRING(8559033.694331666 5354650.760631604,8559021.804127267 5354556.850030829)",4900,15641,1769
3505709875,3505709855,"LINESTRING(8559879.59744469 5359300.229000429,8560040.964504404 5359411.111811221)",1672,19218,2790
6556690790,6556690801,"LINESTRING(8563243.675989553 5351633.846119415,8563249.621091751 5351568.538082738)",9736,10788,1701
4830409360,2198751224,"LINESTRING(8559305.470432237 5356194.880168975,8559296.12812878 5356169.210805522)",3288,16787,790
2201605010,5664118377,"LINESTRING(8560976.893450739 5355953.940977296,8560856.292806111 5355914.271200265)",5187,15748,2960
2267609289,2267609089,"LINESTRING(8562055.504849875 5352854.3743683975,8562073.340156475 5352879.451400056)",7387,12517,610
2200691706,2200691719,"LINESTRING(8561622.361689594 5356029.780727788,8561640.196996192 5356095.703474779)",4713,15537,1055
8202703481,8202703473,"LINESTRING(8558951.312201183 5354553.93356772,8558947.914999925 5354503.187255984)",5013,15645,2141
4693475199,4693475200,"LINESTRING(8559839.680329919 5357782.434607519,8559841.378930548 5357746.84147964)",1596,17843,131
296027990,296027985,"LINESTRING(8559415.03017278 5357363.494621911,8559488.919300122 5357338.40550025)",2424,17669,817
2021401932,2021401925,"LINESTRING(8560362.000023201 5358922.653767436,8560397.6706364 5359019.526321746)",2086,18708,2511
341788872,341788904,"LINESTRING(8562047.011846732 5348228.526412927,8562065.696453646 5348116.611006508)",12081,8832,2865
